date, value
2022-06-15,134.1575
2022-06-16,132.701
2022-06-17,134.9575
2022-06-18,134.9575
2022-06-20,135.094
2022-06-21,136.5035
2022-06-22,136.094
2022-06-23,134.842
2022-06-24,135.2104
2022-06-25,135.2104
2022-06-27,135.377
2022-06-28,136.144
2022-06-29,136.5815
2022-06-30,135.727
2022-07-01,135.225
2022-07-02,135.225
2022-07-04,135.7035
2022-07-05,135.7685
2022-07-06,135.965
2022-07-07,136.008
2022-07-08,136.115
2022-07-09,136.115
2022-07-11,137.436
2022-07-12,137.179
2022-07-13,137.4403
2022-07-14,139.039
2022-07-15,138.5315
2022-07-16,138.5315
2022-07-18,138.237
2022-07-19,138.1635
2022-07-20,138.285
2022-07-21,137.4497
2022-07-22,136.268
2022-07-23,136.268
2022-07-25,136.561
2022-07-26,136.847
2022-07-27,136.512
2022-07-28,134.3185
2022-07-29,133.245
2022-07-30,133.245
2022-08-01,131.568
2022-08-02,133.005
2022-08-03,133.945
2022-08-04,132.9401
2022-08-05,134.9225
2022-08-06,134.9225
2022-08-08,135.015
2022-08-09,135.105
2022-08-10,132.848
2022-08-11,132.9565
2022-08-12,133.4365
2022-08-13,133.4365
2022-08-15,133.143
2022-08-16,134.2785
2022-08-17,135.0901
2022-08-18,135.871
2022-08-19,136.8605
2022-08-20,136.8605
2022-08-22,137.449
2022-08-23,136.694
2022-08-24,137.053
2022-08-25,136.5095
2022-08-26,137.6645
2022-08-27,137.6645
2022-08-29,138.679
2022-08-30,138.7785
2022-08-31,139.0525
2022-09-01,140.1915
2022-09-02,140.211
2022-09-03,140.211
2022-09-05,140.4685
2022-09-06,143.463
2022-09-07,144.1245
2022-09-08,143.9925
2022-09-09,142.505
2022-09-10,142.505
2022-09-12,142.729
2022-09-13,144.8199
2022-09-14,143.0295
2022-09-15,143.3785
2022-09-16,142.9265
2022-09-17,142.9265
2022-09-19,143.278
2022-09-20,143.668
2022-09-21,144.381
2022-09-22,142.431
2022-09-23,143.3415
2022-09-24,143.3415
2022-09-26,144.618
2022-09-27,144.812
2022-09-28,144.2345
2022-09-29,144.4275
2022-09-30,144.739
2022-10-01,144.739
2022-10-03,144.5185
2022-10-04,144.1245
2022-10-05,144.4995
2022-10-06,145.0265
2022-10-07,145.395
2022-10-08,145.395
2022-10-10,145.666
2022-10-11,145.8205
2022-10-12,146.7935
2022-10-13,147.2425
2022-10-14,148.785
2022-10-15,148.785
2022-10-17,148.973
2022-10-18,149.193
2022-10-19,149.8095
2022-10-20,150.139
2022-10-21,147.675
2022-10-22,147.675
2022-10-24,148.913
2022-10-25,148.1855
2022-10-26,146.3155
2022-10-27,146.1199
2022-10-28,147.455
2022-10-29,147.455
2022-10-31,148.6415
2022-11-01,148.191
2022-11-02,147.954
2022-11-03,148.196
2022-11-04,146.605
2022-11-05,146.605
2022-11-07,146.605
2022-11-08,145.6815
2022-11-09,146.454
2022-11-10,141.719
2022-11-11,138.8038
2022-11-12,138.8038
2022-11-14,140.054
2022-11-15,139.296
2022-11-16,139.488
2022-11-17,140.2802
2022-11-18,140.345
2022-11-19,140.345
2022-11-21,142.106
2022-11-22,141.1925
2022-11-23,139.589
2022-11-24,138.583
2022-11-25,139.125
2022-11-26,139.125
2022-11-28,138.9045
2022-11-29,138.6805
2022-11-30,138.084
2022-12-01,135.3341
2022-12-02,134.315
2022-12-03,134.315
2022-12-05,136.7435
2022-12-06,137.0025
2022-12-07,136.544
2022-12-08,136.653
2022-12-09,136.565
2022-12-10,136.565
2022-12-12,137.572
2022-12-13,135.468
2022-12-14,135.4303
2022-12-15,137.751
2022-12-16,136.705
2022-12-17,136.705
2022-12-19,136.877
2022-12-20,131.771
2022-12-21,132.355
2022-12-22,132.4115
2022-12-23,132.765
2022-12-24,132.765
2022-12-26,132.9135
2022-12-27,133.473
2022-12-28,134.3555
2022-12-29,133.0305
2022-12-30,131.115
