Date,Close
2021-01-25,0.078
2021-01-26,0.073
2021-01-27,0.076
2021-01-28,0.063
2021-01-29,0.058
2021-02-01,0.065
2021-02-02,0.061
2021-02-03,0.041
2021-02-04,0.033
2021-02-05,0.03
2021-02-08,0.033
2021-02-09,0.04
2021-02-10,0.046
2021-02-11,0.043
2021-02-12,0.045
2021-02-14,0.043
2021-02-16,0.046
2021-02-17,0.038
2021-02-18,0.038
2021-02-19,0.033
2021-02-22,0.036
2021-02-23,0.033
2021-02-24,0.03
2021-02-25,0.038
2021-02-26,0.04
2021-03-01,0.04
2021-03-02,0.038
2021-03-03,0.046
2021-03-04,0.046
2021-03-05,0.04
2021-03-08,0.043
2021-03-09,0.046
2021-03-10,0.04
2021-03-11,0.038
2021-03-12,0.035
2021-03-15,0.028
2021-03-16,0.018
2021-03-17,0.015
2021-03-18,0.015
2021-03-19,0.015
2021-03-22,0.01
2021-03-23,0.013
2021-03-24,0.02
2021-03-25,0.02
2021-03-26,0.023
2021-03-29,0.025
2021-03-30,0.023
2021-03-31,0.015
2021-04-01,0.015
2021-04-02,0.018
2021-04-05,0.02
2021-04-06,0.023
2021-04-07,0.018
2021-04-08,0.018
2021-04-09,0.015
2021-04-12,0.005
2021-04-13,0.028
2021-04-14,0.015
2021-04-15,0.023
2021-04-16,0.025
2021-04-19,0.023
2021-04-20,0.02
2021-04-21,0.028
2021-04-22,0.025
2021-04-23,0.018
2021-04-26,0.023
2021-04-27,0.015
2021-04-28,0.01
2021-04-29,0.015
2021-04-30,0.015
2021-05-03,0.02
2021-05-04,0.018
2021-05-05,0.02
2021-05-06,0.02
2021-05-07,0.018
2021-05-10,0.02
2021-05-11,0.013
2021-05-12,0.013
2021-05-13,0.013
2021-05-14,0.018
2021-05-17,0.015
2021-05-18,0.015
2021-05-19,0.01
2021-05-20,0.01
2021-05-21,0.005
2021-05-24,0.018
2021-05-25,0.015
2021-05-26,0.018
2021-05-27,0.013
2021-05-28,0.013
2021-05-30,0.013
2021-06-01,0.018
2021-06-02,0.02
2021-06-03,0.023
2021-06-04,0.023
2021-06-07,0.023
2021-06-08,0.023
2021-06-09,0.03
2021-06-10,0.028
2021-06-11,0.028
2021-06-14,0.028
2021-06-15,0.027
2021-06-16,0.035
2021-06-17,0.035
2021-06-18,0.045
2021-06-21,0.043
2021-06-22,0.04
2021-06-23,0.048
2021-06-24,0.047
2021-06-25,0.047
2021-06-28,0.045
2021-06-29,0.048
2021-06-30,0.05
2021-07-01,0.051
2021-07-02,0.043
2021-07-04,0.043
2021-07-06,0.046
2021-07-07,0.05
2021-07-08,0.053
2021-07-09,0.05
2021-07-12,0.051
2021-07-13,0.051
2021-07-14,0.053
2021-07-15,0.048
2021-07-16,0.048
2021-07-19,0.048
2021-07-20,0.053
2021-07-21,0.053
2021-07-22,0.053
2021-07-23,0.05
2021-07-26,0.048
2021-07-27,0.05
2021-07-28,0.053
2021-07-29,0.048
2021-07-30,0.053
2021-08-02,0.051
2021-08-03,0.056
2021-08-04,0.053
2021-08-05,0.046
2021-08-06,0.055
2021-08-09,0.051
2021-08-10,0.056
2021-08-11,0.058
2021-08-12,0.053
2021-08-13,0.055
2021-08-16,0.074
2021-08-17,0.063
2021-08-18,0.068
2021-08-19,0.053
2021-08-20,0.053
2021-08-23,0.053
2021-08-24,0.055
2021-08-25,0.05
2021-08-26,0.053
2021-08-27,0.053
2021-08-30,0.048
2021-08-31,0.043
2021-09-01,0.043
2021-09-02,0.048
2021-09-03,0.046
2021-09-05,0.046
2021-09-07,0.048
2021-09-08,0.043
2021-09-09,0.048
2021-09-10,0.048
2021-09-13,0.045
2021-09-14,0.038
2021-09-15,0.045
2021-09-16,0.038
2021-09-17,0.04
2021-09-20,0.035
2021-09-21,0.025
2021-09-22,0.03
2021-09-23,0.036
2021-09-24,0.035
2021-09-27,0.025
2021-09-28,0.04
2021-09-29,0.033
2021-09-30,0.043
2021-10-01,0.038
2021-10-04,0.04
2021-10-05,0.04
2021-10-06,0.045
2021-10-07,0.05
2021-10-08,0.05
2021-10-10,0.05
2021-10-12,0.051
2021-10-13,0.048
2021-10-14,0.051
2021-10-15,0.05
2021-10-18,0.05
2021-10-19,0.055
2021-10-20,0.053
2021-10-21,0.055
2021-10-22,0.06
2021-10-25,0.055
2021-10-26,0.058
2021-10-27,0.058
2021-10-28,0.058
2021-10-29,0.058
2021-11-01,0.048
2021-11-02,0.053
2021-11-03,0.053
2021-11-04,0.058
2021-11-05,0.05
2021-11-08,0.05
2021-11-09,0.048
2021-11-10,0.051
2021-11-12,0.053
2021-11-15,0.05
2021-11-16,0.043
2021-11-17,0.043
2021-11-18,0.045
2021-11-19,0.053
2021-11-22,0.052
2021-11-23,0.05
2021-11-24,0.055
2021-11-25,0.063
2021-11-26,0.058
2021-11-29,0.051
2021-11-30,0.055
2021-12-01,0.056
2021-12-02,0.046
2021-12-03,0.056
2021-12-06,0.052
2021-12-07,0.068
2021-12-08,0.058
2021-12-09,0.06
2021-12-10,0.06
2021-12-13,0.056
2021-12-14,0.053
2021-12-15,0.051
2021-12-16,0.046
2021-12-17,0.051
2021-12-20,0.047
2021-12-21,0.071
2021-12-22,0.07
2021-12-23,0.08
2021-12-27,0.071
2021-12-28,0.056
2021-12-29,0.048
2021-12-30,0.045
2021-12-31,0.05
2022-01-03,0.068
2022-01-04,0.091
2022-01-05,0.093
2022-01-06,0.101
2022-01-07,0.1
2022-01-10,0.101
2022-01-11,0.119
2022-01-12,0.12
2022-01-13,0.122
2022-01-14,0.127
2022-01-16,0.125
2022-01-18,0.175
2022-01-19,0.178
2022-01-20,0.175
2022-01-21,0.178
2022-01-24,0.175
2022-01-25,0.19
2022-01-26,0.195
2022-01-27,0.203
2022-01-28,0.198
2022-01-31,0.226
2022-02-01,0.2
2022-02-02,0.198
2022-02-03,0.205
2022-02-04,0.233
2022-02-07,0.226
2022-02-08,0.27
2022-02-09,0.279
2022-02-10,0.409
2022-02-11,0.363
2022-02-14,0.41
2022-02-15,0.413
2022-02-16,0.393
2022-02-17,0.365
2022-02-18,0.35
2022-02-21,0.345
2022-02-22,0.353
2022-02-23,0.355
2022-02-24,0.32
2022-02-25,0.32
2022-02-28,0.682
2022-03-01,0.325
2022-03-02,0.333
2022-03-03,0.348
2022-03-04,0.327
2022-03-07,0.327
2022-03-08,0.365
2022-03-09,0.381
2022-03-10,0.383
2022-03-11,0.386
2022-03-14,0.462
2022-03-15,0.459
2022-03-16,0.439
2022-03-17,0.398
2022-03-18,0.406
2022-03-21,0.485
2022-03-22,0.495
2022-03-23,0.483
2022-03-24,0.505
2022-03-25,0.536
2022-03-28,0.543
2022-03-29,0.553
2022-03-30,0.538
